id,macbola,timestamp,firmware_bola,firmware_gateway,firmware_RX,xace,yace,zace,xgiro,ygiro,zgiro,bateria,estado,temperatura,desgaste,intensidadsenial,idmolino,codigomolino,id01,id02,id03,id04,id05,id06,id07,servicio
0,EC:D7:45:F4:6F:32,2021-09-07 18:26:49,1.0.3.5,2.4,1.0,0.0,0.1,0.2,-0.15,0.09,0.09,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
1,EC:D7:45:F4:6F:30,2021-09-07 18:26:50,1.0.3.5,2.4,1.0,5.796831389199583,6.522505239148969,0.2985111402221786,-0.3822718254858159,-0.5460866075520707,0.015667258415858434,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
2,EC:D7:45:F4:6F:31,2021-09-07 18:26:50,1.0.3.5,2.4,1.0,-4.599464265048928,-6.465732502961385,0.8969038941768923,0.06668730232930242,0.2732341501691158,-0.4569854718676563,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
3,EC:D7:45:F4:6F:32,2021-09-07 18:26:50,1.0.3.5,2.4,1.0,0.022523776319576,-0.2913379216770955,-6.776230505673338,0.2689985893305169,0.16035555049942413,1.194556021620343,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
4,EC:D7:45:F4:6F:33,2021-09-07 18:26:50,1.0.3.5,2.4,1.0,0.913361297894839,-0.6511603867421424,5.547407287630157,0.09939562409671275,0.45451551307660454,-0.1827721331162584,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
5,EC:D7:45:F4:6F:34,2021-09-07 18:26:50,1.0.3.5,2.4,1.0,0.981773160122621,4.609299053191581,3.133111601038327,0.0642361243164282,-0.5411540122980223,0.22261088618052427,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
6,EC:D7:45:F4:6F:35,2021-09-07 18:26:50,1.0.3.5,2.4,1.0,0.3458856677366354,3.2421041858666415,0.9730482201003288,0.5440927055677616,-0.025780132711962712,0.10098203003971064,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
7,EC:D7:45:F4:6F:36,2021-09-07 18:26:50,1.0.3.5,2.4,1.0,3.0004939738154226,-4.890980754785158,-1.807471170333085,-0.25001428447618423,0.990307859761623,-0.04643101282804229,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
8,EC:D7:45:F4:6F:37,2021-09-07 18:26:50,1.0.3.5,2.4,1.0,2.9349910071340743,2.7871877797817355,-1.2639304358410166,-0.7754184135652236,0.4824219853380716,-0.20359838483179593,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
9,EC:D7:45:F4:6F:38,2021-09-07 18:26:50,1.0.3.5,2.4,1.0,3.230804955352049,-5.873691712994841,-1.9709235088642338,0.6284106723026807,0.7155019940262591,-0.6512293105691787,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
10,EC:D7:45:F4:6F:39,2021-09-07 18:26:50,1.0.3.5,2.4,1.0,-5.997633655900245,-0.19918996920824375,3.277085954934239,0.08025233968966487,0.15177735391349187,-0.4944182124873065,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
11,EC:D7:45:F4:6F:40,2021-09-07 18:26:50,1.0.3.5,2.4,1.0,2.640562712162116,5.02583553511576,-1.9605263412779232,-0.716744031831733,-0.37941041184187446,0.3808290029184913,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
12,EC:D7:45:F4:6F:41,2021-09-07 18:26:50,1.0.3.5,2.4,1.0,-7.801637363263953,-0.4134455451252175,-4.45953728315472,-0.06556722098885938,-0.1222607933740193,0.007928391636158008,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
13,EC:D7:45:F4:6F:42,2021-09-07 18:26:50,1.0.3.5,2.4,1.0,6.755433283365303,1.8931969962354616,6.001707354143517,-0.07070635715172698,-0.23979330391348289,0.1894052911329945,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
14,EC:D7:45:F4:6F:43,2021-09-07 18:26:50,1.0.3.5,2.4,1.0,-12.761058540060167,-0.17949966611430235,0.7207640508385215,-0.6176043720067707,0.2321826112862755,-0.2796224021634801,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
15,EC:D7:45:F4:6F:44,2021-09-07 18:26:50,1.0.3.5,2.4,1.0,-11.065950856246307,-0.9599327566557597,-4.404805849335507,-0.2602979363000732,-0.07614220935268468,0.6254876746169116,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
16,EC:D7:45:F4:6F:45,2021-09-07 18:26:50,1.0.3.5,2.4,1.0,0.4641668052371558,-0.1281853124265351,1.7505198727532423,-0.9060461829123073,0.620061935311784,-0.5385434601482421,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
17,EC:D7:45:F4:6F:30,2021-09-07 18:26:51,1.0.3.5,2.4,1.0,1.9759278201075317,-5.070512229608866,-4.394184140749231,-0.19814393763575017,0.9478742313092229,0.34883221723423774,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
18,EC:D7:45:F4:6F:31,2021-09-07 18:26:51,1.0.3.5,2.4,1.0,-2.718884223219002,-1.2793959008830489,-5.181294303985431,-0.01708000525903647,-0.28653621487508063,0.36094395131561313,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
19,EC:D7:45:F4:6F:32,2021-09-07 18:26:51,1.0.3.5,2.4,1.0,-6.10680402089515,-1.5058944160192453,-3.789038685910994,-0.3593542295009296,0.35558077665115984,0.06315287723167819,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
20,EC:D7:45:F4:6F:33,2021-09-07 18:26:51,1.0.3.5,2.4,1.0,2.6333959782652365,5.350836820666344,5.173063791803521,-0.6858963607077304,0.2684828450750039,-0.8806342284607309,0,A,23.25,15,-78,0,000001,0,0,0,0,0,0,0,Grinding
